country,year,region,co2,coal_co2,gas_co2,oil_co2,co2_per_capita,gdp,gdp_per_capita,temperature_change_from_co2
India,1992,Asia,0.655447,411.414,27.256,188.055,0.726,1851711422464.0,2050.719220087132,0.015
India,1993,Asia,0.677299,433.121,26.996,186.879,0.735,1944353767424.0,2108.5728357610656,0.015
India,1994,Asia,0.7140639999999999,455.72,28.997,198.955,0.759,2055026769920.0,2183.4953963458697,0.016
India,1995,Asia,0.760462,471.723,39.051,216.281,0.792,2189535739904.0,2280.051390617664,0.016
India,1996,Asia,0.8236209999999999,504.498,39.747,243.16,0.841,2345228828672.0,2393.8760673542783,0.016
India,1997,Asia,0.858011,527.722,46.024,244.202,0.859,2426804895744.0,2428.9089016464177,0.017
India,1998,Asia,0.875772,524.125,47.595,262.892,0.86,2567853047808.0,2520.8020927286666,0.017
India,1999,Asia,0.960763,560.528,52.619,300.976,0.925,2710352953344.0,2610.5620747646576,0.018
India,2000,Asia,0.986445,572.876,52.791,312.847,0.932,2804478640128.0,2650.9295678237854,0.018
India,2001,Asia,1.000527,582.081,53.128,316.721,0.928,2940745547776.0,2728.221025768276,0.019
India,2002,Asia,1.03214,598.597,57.609,325.22,0.94,3024984473600.0,2755.9980170961694,0.019
India,2003,Asia,1.0677370000000002,625.89,58.565,330.615,0.956,3251114344448.0,2911.0902757077756,0.02
India,2004,Asia,1.133828,669.968,58.316,348.234,0.998,3495022821376.0,3076.6275897396454,0.02
India,2005,Asia,1.194592,721.469,59.357,352.376,1.035,3752627535872.0,3249.9389431680206,0.021
India,2006,Asia,1.292485,773.564,82.58,369.694,1.102,4069856116736.0,3469.9713256293667,0.021
India,2007,Asia,1.392506,842.477,87.956,391.897,1.17,4403214942208.0,3698.079778765816,0.022
India,2008,Asia,1.489437,910.795,90.277,413.233,1.233,4649547988992.0,3849.183550435393,0.023
India,2009,Asia,1.612216,983.947,112.463,432.66,1.316,4993478819840.0,4074.5637973401695,0.024
India,2010,Asia,1.677337,1015.983,134.121,439.5,1.349,5361371185152.0,4311.580758709182,0.024
